Date,Open,High,Low,Close,Volume,OpenInt
2008-08-15,44.886,44.886,44.886,44.886,112,0
2008-08-18,44.564,44.564,43.875,43.875,28497,0
2008-08-19,43.283,43.283,43.283,43.283,112,0
2008-08-20,43.918,43.918,43.892,43.892,4468,0
2008-08-22,44.097,44.097,44.017,44.071,4006,0
2008-08-25,44.044,44.044,43.248,43.248,18975,0
2008-08-26,43.802,43.802,43.471,43.66,5507,0
2008-08-27,44.564,44.564,44.457,44.457,1675,0
2008-08-28,44.421,44.475,44.421,44.475,6687,0
2008-08-29,44.224,44.224,44.171,44.171,446,0
2008-09-02,43.875,43.875,43.875,43.875,112,0
2008-09-03,42.281,42.396,42.173,42.235,4287,0
2008-09-04,41.825,41.825,41.098,41.153,2861,0
2008-09-05,40.497,41.188,40.364,41.188,6811,0
2008-09-08,42.18,42.29,41.752,42.29,4244,0
2008-09-09,41.967,41.967,41.08,41.08,12718,0
2008-09-11,39.541,39.979,39.38,39.8,3627,0
2008-09-12,39.496,39.505,39.21,39.21,1694,0
2008-09-15,38.771,38.771,37.919,37.992,6842,0
2008-09-16,37.571,37.606,36.712,37.231,4152,0
2008-09-17,37.122,37.122,36.039,36.039,1900,0
2008-09-18,37.08,38.644,36.729,38.627,4936,0
2008-09-19,39.855,41.395,39.855,41.359,4090,0
2008-09-22,41.072,41.072,40.033,40.311,4264,0
2008-09-23,38.877,39.307,38.877,38.886,7734,0
2008-09-24,38.707,38.859,38.699,38.717,12843,0
2008-09-25,39.236,40.158,39.236,40.158,12531,0
2008-09-26,38.817,39.103,38.467,38.896,4021,0
2008-09-29,36.8,36.872,35.458,35.458,7706,0
2008-09-30,36.615,37.07,36.615,37.07,29167,0
2008-10-01,36.721,39.925,36.721,37.909,82231,0
2008-10-02,36.765,36.792,36.444,36.444,21779,0
2008-10-03,36.371,36.381,35.968,35.968,3350,0
2008-10-06,34.544,34.544,32.664,33.148,1199,0
2008-10-07,33.623,33.623,31.966,31.966,5528,0
